year,ecology,environment
1800,3.0948099638550275e-09,2.990491658749761e-07
1801,7.676461244443544e-09,2.483404060171779e-07
1802,6.903532301372195e-09,2.505077259703133e-07
1803,7.321313238201859e-09,2.2174090728656536e-07
1804,7.059467137844016e-09,1.5862962549866616e-07
1805,7.3191446395678585e-09,1.629642325846297e-07
1806,6.117605453960704e-09,1.4376977272182297e-07
1807,1.1975799891444133e-08,9.771764476949687e-08
1808,8.261076124758761e-09,1.0204358526420623e-07
1809,7.826949326756555e-09,6.72416288998485e-08
1810,6.422949489730862e-09,6.131131780051646e-08
1811,6.117871939207273e-09,4.835667371289836e-08
1812,5.85819443748343e-09,2.8130843813097987e-08
1813,6.634112053356083e-09,3.194826663539223e-08
1814,1.1938338888890193e-09,3.800384350073825e-08
1815,1.1938338888890193e-09,3.4130202029660136e-08
1816,1.1938338888890193e-09,3.483019092190684e-08
1817,1.7078766020465049e-09,3.8709582333191454e-08
1818,1.7078766020465049e-09,4.9161941565297896e-08
1819,1.7078766020465049e-09,5.585459180882221e-08
1820,1.3741497780931207e-09,5.246240699006778e-08
1821,1.084787759619843e-09,4.4473387258595464e-08
1822,1.2095566611794846e-09,4.026523749343726e-08
1823,5.282976865496534e-09,8.296362707937988e-08
1824,5.573654252418894e-09,8.470054828941492e-08
1825,5.953504657517174e-09,7.960379428644565e-08
1826,7.256985282541198e-09,7.372180225015004e-08
1827,7.128506309049345e-09,7.118112118778949e-08
1828,8.43423306592531e-09,8.940564200088374e-08
1829,1.6882926612282745e-08,2.774553853969662e-07
1830,1.3095420049933994e-08,2.4534321850312934e-07
1831,1.3219646520314297e-08,2.5377904679300756e-07
1832,1.9311154929115204e-08,3.176069286934892e-07
1833,1.8007674304091178e-08,3.1936661010994225e-07
1834,1.8109263453882007e-08,3.28030642902734e-07
1835,1.7177682863435606e-08,3.283324753665186e-07
1836,1.4984420656663896e-08,1.7033955249498183e-07
1837,1.4698507014695598e-08,1.6829148817367111e-07
1838,1.69752417519423e-08,1.709335591166499e-07
1839,1.0731227240157182e-08,1.130274271637128e-07
1840,1.095798513832997e-08,1.1675044017270661e-07
1841,1.1032527447163432e-08,1.2080673781968342e-07
1842,1.162450489834908e-08,1.2172598319791307e-07
1843,5.44102824700283e-09,1.0846545706044708e-07
1844,6.042073936412302e-09,1.2447603126020113e-07
1845,2.903131394013262e-09,1.2531224667457407e-07
1846,2.6757870918991955e-09,1.3508888940805264e-07
1847,2.6308455969292766e-09,1.4986648214484637e-07
1848,2.851942071391278e-09,1.633582290391392e-07
1849,2.4021386387954433e-09,1.7028187317334543e-07
1850,2.9649335922929e-09,1.69206456592162e-07
1851,3.2460312136630064e-09,1.6733194334912177e-07
1852,3.735469711330097e-09,1.9088017617312808e-07
1853,3.928507075201537e-09,2.0603450983409338e-07
1854,5.110240960551746e-09,2.2369879916693337e-07
1855,5.134325694758754e-09,2.3389164636812764e-07
1856,5.085836926202855e-09,2.343372277177228e-07
