Title,Artist,ReleaseDate,ReleaseType,CriticScore,UserScore,URL,Weekday
BRAT,Charli xcx,Jun 7 2024,LP,90,84,https://www.albumoftheyear.org/album/887267-charli-xcx-brat.php,Friday
CHROMAKOPIA,"Tyler, The Creator",Oct 28 2024,LP,83,83,https://www.albumoftheyear.org/album/1104481-tyler-the-creator-chromakopia.php,Monday
GNX,Kendrick Lamar,Nov 22 2024,LP,87,82,https://www.albumoftheyear.org/album/1139965-kendrick-lamar-gnx.php,Friday
Imaginal Disk,Magdalena Bay,Aug 23 2024,LP,88,90,https://www.albumoftheyear.org/album/1012480-magdalena-bay-imaginal-disk.php,Friday
HIT ME HARD AND SOFT,Billie Eilish,May 17 2024,LP,86,82,https://www.albumoftheyear.org/album/924853-billie-eilish-hit-me-hard-and-soft.php,Friday
I LAY DOWN MY LIFE FOR YOU,JPEGMAFIA,Aug 1 2024,LP,78,85,https://www.albumoftheyear.org/album/1028788-jpegmafia-i-lay-down-my-life-for-you.php,Thursday
VULTURES 1,¥$,Feb 10 2024,LP,43,46,https://www.albumoftheyear.org/album/770331-ys-vultures-1.php,Saturday
VULTURES 2,¥$,Aug 3 2024,LP,40,28,https://www.albumoftheyear.org/album/854855-ys-vultures-2.php,Saturday
The New Sound,Geordie Greep,Oct 4 2024,LP,83,87,https://www.albumoftheyear.org/album/1023263-geordie-greep-the-new-sound.php,Friday
THE TORTURED POETS DEPARTMENT,Taylor Swift,Apr 19 2024,LP,71,48,https://www.albumoftheyear.org/album/867088-taylor-swift-the-tortured-poets-department.php,Friday
Charm,Clairo,Jul 12 2024,LP,81,81,https://www.albumoftheyear.org/album/965192-clairo-charm.php,Friday
Short n' Sweet,Sabrina Carpenter,Aug 23 2024,LP,73,67,https://www.albumoftheyear.org/album/975997-sabrina-carpenter-short-n-sweet.php,Friday
WE DON'T TRUST YOU,Future,Mar 22 2024,LP,62,72,https://www.albumoftheyear.org/album/896934-future-we-dont-trust-you.php,Friday
SCRAPYARD,Quadeca,Feb 16 2024,Mixtape,90,84,https://www.albumoftheyear.org/album/868978-quadeca-scrapyard.php,Friday
King of the Mischievous South Vol. 2,Denzel Curry,Jul 19 2024,Mixtape,71,80,https://www.albumoftheyear.org/album/973178-denzel-curry-king-of-the-mischievous-south-vol-2.php,Friday
eternal sunshine,Ariana Grande,Mar 8 2024,LP,76,72,https://www.albumoftheyear.org/album/848848-ariana-grande-eternal-sunshine.php,Friday
COWBOY CARTER,Beyoncé,Mar 29 2024,LP,86,77,https://www.albumoftheyear.org/album/873803-beyonce-cowboy-carter.php,Friday
Dark Times,Vince Staples,May 24 2024,LP,82,82,https://www.albumoftheyear.org/album/961934-vince-staples-dark-times.php,Friday
The Death of Slim Shady (Coup de Grâce),Eminem,Jul 12 2024,LP,51,49,https://www.albumoftheyear.org/album/940786-eminem-the-death-of-slim-shady-coup-de-grace.php,Friday
meet the grahams,Kendrick Lamar,May 5 2024,Single,,97,https://www.albumoftheyear.org/album/948727-kendrick-lamar-meet-the-grahams.php,Sunday
SMILE! :D,Porter Robinson,Jul 26 2024,LP,75,81,https://www.albumoftheyear.org/album/890326-porter-robinson-smile-d.php,Friday
Alligator Bites Never Heal,Doechii,Aug 30 2024,Mixtape,74,76,https://www.albumoftheyear.org/album/1046815-doechii-alligator-bites-never-heal.php,Friday
Samurai,Lupe Fiasco,Jun 28 2024,LP,81,82,https://www.albumoftheyear.org/album/939552-lupe-fiasco-samurai.php,Friday
american dream,21 Savage,Jan 12 2024,LP,70,66,https://www.albumoftheyear.org/album/841055-21-savage-american-dream.php,Friday
Only God Was Above Us,Vampire Weekend,Apr 5 2024,LP,86,82,https://www.albumoftheyear.org/album/868936-vampire-weekend-only-god-was-above-us.php,Friday
You Won't Go Before You're Supposed To,Knocked Loose,May 10 2024,LP,88,83,https://www.albumoftheyear.org/album/887049-knocked-loose-you-wont-go-before-youre-supposed-to.php,Friday
Clancy,twenty one pilots,May 24 2024,LP,78,74,https://www.albumoftheyear.org/album/889185-twenty-one-pilots-clancy.php,Friday
BLUE LIPS,ScHoolboy Q,Mar 1 2024,LP,81,78,https://www.albumoftheyear.org/album/863982-schoolboy-q-blue-lips.php,Friday
2093,Yeat,Feb 16 2024,LP,66,73,https://www.albumoftheyear.org/album/722840-yeat-2093.php,Friday
